index	tweet_id	sentiment
549	#1349797010459783168	0
550	#1334315181988433920	0
551	#1300926068367466496	1
552	#1355148943764676608	0
553	#1321575263944253440	2
554	#1348638037991976704	1
555	#1285541319750934528	0
556	#1333541989883797504	1
557	#1334573285825081088	1
558	#1331091493956804608	2
559	#1334207814080851968	0
560	#1288549885436768512	1
561	#1310997514968014848	1
562	#1329030152458825728	2
563	#1339332020388810752	1
564	#1280659683758559232	1
565	#1291571067845324800	1
566	#1337477128573607936	1
567	#1266480533376307200	1
568	#1339168954783248384	1
569	#1262693324798005248	2
570	#1345164766713622528	0
571	#1284299650653024512	1
572	#1351507960451772416	1
573	#1303577649021964288	0
574	#1250775293943480320	2
575	#1326340858833088512	2
576	#1335371350257635328	1
577	#1278906999632089088	1
578	#1337818824427626496	1
579	#1343948238357991424	2
580	#1311975536592408320	1
581	#1336338533443760128	2
582	#1290006663714332672	1
583	#1289736917999738880	1
584	#1341947718420160512	1
585	#1348415525626540032	2
586	#1318594299345383424	1
587	#1337085540877922304	2
588	#1283626173553995520	1
589	#1348241729229516800	2
590	#1343644342339194880	1
591	#1340703758511173632	1
592	#1351095514108997632	1
593	#1341525608434692096	1
594	#1330713690878820352	1
595	#1351917850118807552	0
596	#1328408451068911616	2
597	#1328550880124100608	0
598	#1354340138118209536	1
599	#1331622168455770112	1
600	#1248027125984030720	2
601	#1342213017212251904	1
602	#1353744469179379712	1
603	#1331619827509825536	0
604	#1274653343273672704	1
605	#1312040000000000000	0
606	#1258732161726738432	1
607	#1334890000000000000	0
608	#1348613109645254912	1
609	#1286179793130549248	1
610	#1327334731831255040	1
611	#1344259023764385536	2
612	#1328245768126390272	1
613	#1350207907871133696	2
614	#1350370957987295232	0
615	#1333747123947413504	1
616	#1336738451262205952	1
617	#1356006717369118720	0
618	#1355215645202288640	1
619	#1346586968197652480	1
620	#1283825662676144128	1
621	#1334112695419854848	1
622	#1342520115821162496	2
623	#1253001742612148224	1
624	#1338109457310605056	1
625	#1344477349610360832	1
626	#1334050056656326912	2
627	#1296461000154152704	1
628	#1337682161080688640	1
629	#1353590553972252672	0
630	#1258003468465270784	1
631	#1333524114137513984	1
632	#1283828739755970304	1
633	#1328771783634399232	1
634	#1351562724074000384	1
635	#1328715606846185472	1
636	#1284790089911074816	1
637	#1289420752530243584	1
638	#1349108916488196096	0
639	#1335585763073929216	1
640	#1286547127066226688	1
641	#1325921102724526080	2
642	#1325817734731599872	1
643	#1325853269093216512	1
644	#1351258016792899584	1
645	#1325776346006626304	2
646	#1293145031587631104	1
647	#1285695336166699008	1
648	#1281049982204854272	1
649	#1293530351629996032	0
650	#1354595539137007616	2
651	#1279280000328331264	0
652	#1293903110717480704	1
653	#1332436231687434240	0
654	#1293247351235072000	1
655	#1304444245445611520	0
656	#1344176951859281920	1
657	#1333893110720573440	1
658	#1298760673766199296	1
659	#1351447400989270016	1
660	#1344282376147521536	1
661	#1347301915776966912	1
662	#1345312690084995072	1
663	#1306012834476756992	1
664	#1340319962762629120	0
665	#1285278055628447488	2
666	#1269542441507578112	2
667	#1267631006196158464	1
668	#1331069932885348352	2
669	#1353785752111509504	1
670	#1336710230164426752	1
671	#1289987856014798848	1
672	#1350013728130035712	2
673	#1347930000000000000	2
674	#1309529641850372096	0
675	#1347390702771200000	2
676	#1290860812245098496	1
677	#1336317635437473536	2
678	#1355277554677112832	2
679	#1285738102619856896	2
680	#1262606666064789504	1
681	#1285286050961784832	0
682	#1326128010425151488	1
683	#1290667854417846272	0
684	#1352062797228621824	0
685	#1339406737615581184	1
686	#1351619691983286272	2
687	#1324073805854199808	1
688	#1261959980229558272	1
689	#1344155810981576704	2
690	#1335310000000000000	0
691	#1251287531015962624	0
692	#1318938908017585920	0
693	#1306559641103536128	1
694	#1295987751809175552	1
695	#1300771487213932288	1
696	#1302596650855288832	0
697	#1340310787739533056	1
698	#1353962203259527168	1
699	#1337060895122477056	1
700	#1285937983091286016	1
701	#1339634162186247936	1
702	#1343354726969184512	0
703	#1356386677690822912	2
704	#1283460099021864704	2
705	#1253279532745965568	1
706	#1258720000000000000	2
707	#1239797293827665920	1
708	#1306609282872475648	1
709	#1283028199593488384	1
710	#1330519764289134336	0
711	#1290994113983152128	2
712	#1347026807418101504	2
713	#1351140581158887424	1
714	#1336340420545036288	2
715	#1303131762806013952	1
716	#1275980000000000000	2
717	#1340329126226489088	2
718	#1308900205941620736	0
719	#1334635397096173568	1
720	#1314582228190412800	1
721	#1339430089872846848	1
722	#1324515229036851200	1
723	#1325769374263877632	2
724	#1325887893135568896	2
725	#1334136665229692928	1
726	#1344196501715771136	2
727	#1330847933932183552	2
728	#1284664322740953088	1
729	#1329941451447226368	1
730	#1327179976542621696	1
731	#1347529179563233280	1
732	#1246277091265515520	1
733	#1348352497757417472	1
734	#1300496694971432704	1
735	#1286165963575045888	1
736	#1312503075366608896	0
737	#1341319454110621696	1
738	#1341023106123640832	1
739	#1340311953806397440	1
740	#1341223609977589504	1
741	#1352067210022449152	2
742	#1291596483674988288	1
743	#1286355442021662720	1
744	#1343046249038061568	2
745	#1334097040305958912	1
746	#1290532575874887680	1
747	#1291065742440517632	1
748	#1339025981638647808	2
749	#1354363620591808512	2
750	#1264038793163804672	2
751	#1281760411797381120	2
752	#1303465144853368832	0
753	#1339679174542430208	1
754	#1309771972121972736	1
755	#1290283668028579840	1
756	#1355834248431853568	0
757	#1348765927538626304	1
758	#1283826258456055808	1
759	#1347491736155787264	2
760	#1309670952091951104	1
761	#1310963298179874816	1
762	#1274016619619115008	1
763	#1309308105289760768	1
764	#1325946280741273600	2
765	#1326520671648669696	2
766	#1234794409830572032	1
767	#1353325421908131840	2
768	#1337079488073633792	1
769	#1260915584369405952	2
770	#1351630007492349952	1
771	#1328804339972939520	2
772	#1283627937925865472	1
773	#1351149882619420672	2
774	#1338851603391143936	0
775	#1350534747013992448	0
776	#1336421806052273920	1
777	#1325874513398157056	1
778	#1356642661537624064	1
779	#1346898050900492288	1
780	#1341206177250742272	1
781	#1355190903518978048	2
782	#1262372044139831296	0
783	#1351655963024105472	1
784	#1355188045696347904	1
785	#1333803804001591296	1
786	#1306630376559837184	2
787	#1256617699591028736	0
788	#1333783172371291904	1
789	#1283356297593868288	1
790	#1265150299313971200	1
791	#1354767946095071232	1
792	#1352605692490747904	2
793	#1268268521470988288	1
794	#1253378868540555264	1
795	#1292012603665813504	1
796	#1272994108798164736	2
797	#1254077540412448768	1
798	#1328309277698744320	2
799	#1336351758516441088	2
800	#1290393315083525888	0
801	#1336460564000890880	1
802	#1349452190126120704	1
803	#1286175612198096896	0
804	#1337049485575335936	1
805	#1301485009807781888	1
806	#1348753659526569984	2
807	#1338931098454290432	1
808	#1338693759144497152	1
809	#1265226152806883328	1
810	#1328343068878237696	2
811	#1303497224639447040	0
812	#1328747112402620416	1
813	#1271102483759235072	1
814	#1334307173137084416	0
815	#1340321976783679488	0
816	#1328309436428017664	2
817	#1309162910266961920	1
818	#1338463707714752512	0
819	#1297627929682284288	1
820	#1333328980007587840	1
821	#1339020000000000000	2
822	#1326234152832802816	1
823	#1308854895378915328	1
824	#1293527632378765312	0
825	#1326166937894842368	0
826	#1318499265904140288	1
827	#1338248186398461952	1
828	#1341125002456928512	1
829	#1334808292040830720	1
830	#1340732139306827520	1
831	#1321733941242593280	1
832	#1351420000000000000	2
833	#1329761111202271232	1
834	#1285390175518863104	1
835	#1298310301067010048	1
836	#1314165454244646912	2
837	#1353154303276539904	1
838	#1354799349151182848	1
839	#1301064180217327616	1
840	#1265302699588943872	0
841	#1354825467472338688	1
842	#1263077928788807680	1
843	#1283796888433590272	1
844	#1331212946949746688	2
845	#1260891731375112192	1
846	#1292378313328070912	1
847	#1336088142210887680	1
848	#1284661405136949248	1
849	#1346313668930125824	1
850	#1288083886052978688	1
851	#1336671963742425088	2
852	#1340008949131616512	2
853	#1356620457571618816	2
854	#1290724694241366016	1
855	#1270231905611456512	2
856	#1302560000000000000	2
857	#1329211719298797568	1
858	#1285340000000000000	0
859	#1327265021747871488	1
860	#1319641644388524032	1
861	#1354230853367451648	1
862	#1352200958256832512	1
863	#1352669417004527616	2
864	#1289936535253659648	2
865	#1332472200419487488	1
866	#1328229262906830848	2
867	#1350898156112805888	2
868	#1315898588921303040	0
869	#1342026194871603200	1
870	#1326298735698038784	2
871	#1345592971190652928	1
872	#1294147125169668096	1
873	#1256235976281726720	2
874	#1306220398154059520	1
875	#1351780000000000000	2
876	#1283547052614524928	0
877	#1349866358142627840	0
878	#1339384711605456896	2
879	#1339020000000000000	2
880	#1340660000000000000	2
881	#1337194420446310400	1
882	#1275493296320773888	2
883	#1293209596266512384	1
884	#1303611017419567104	1
885	#1300138783011110912	1
886	#1337411207213559808	1
887	#1312190353735213056	1
888	#1331237491911897088	1
889	#1269280409424219904	1
890	#1339526128294359040	0
891	#1344293020867424512	0
892	#1340086983268380672	0
893	#1352694092644245504	1
894	#1345771265508990720	1
895	#1336234924827938816	0
896	#1334534119397744640	1
897	#1347132511864971264	2
898	#1293148447546183680	1
899	#1293540642354802688	0
900	#1326778183841157120	1
901	#1303630223406174208	0
902	#1300957866355023872	2
903	#1336285012363276288	1
904	#1295728203156398080	1
905	#1338404521198948352	2
906	#1338860939773239296	1
907	#1326025603489951488	2
908	#1340118187875074048	1
909	#1338590000000000000	2
910	#1320023531132862464	1
911	#1347159335177170688	1
912	#1331206089413636096	1
913	#1345308440000827136	1
914	#1304469276867395584	0
915	#1285473225858854912	2
916	#1321867252921151488	1
917	#1247275259256061952	1
918	#1333911371143020288	2
919	#1287399235722215424	2
920	#1350506855768854528	1
921	#1285988402534453248	1
922	#1346845989521526784	1
923	#1253134542954590208	2
924	#1316242125571284736	1
925	#1301915649120391168	2
926	#1350640735742267392	1
927	#1334918610381393920	2
928	#1344181008032124928	2
929	#1337586560565391104	1
930	#1346599997031243520	1
931	#1278781380495904768	1
932	#1310142469586251520	1
933	#1290876338593726464	2
934	#1251199535227027712	1
935	#1303356076566261504	0
936	#1350520024251957248	2
937	#1344203177059622912	2
938	#1348860624982269952	1
939	#1339427510006788096	0
940	#1285384322007150336	2
941	#1353480859924496384	1
942	#1346787356528037888	1
943	#1355130463409606912	1
944	#1353724995541880832	2
945	#1275395319040217088	1
946	#1263756778858115072	1
947	#1256309502720135168	1
948	#1294516260407930880	1
949	#1344195829020692480	0
950	#1341163366971269120	1
951	#1352812933428875264	1
952	#1335999390696280064	2
953	#1336059280110317568	2
954	#1344109369269637120	1
955	#1263450493461893120	1
956	#1341216998144024320	1
957	#1338812422757478400	0
958	#1318980271253950464	0
959	#1297858444687532032	1
960	#1256898752163524608	1
961	#1338630217846325248	1
962	#1335993785910759424	1
963	#1291613777582989312	0
964	#1334803359568687104	2
965	#1279589865269624832	1
966	#1283457944508481536	1
967	#1333572256820305920	2
968	#1326611017468612608	2
969	#1326236261934305280	2
970	#1337060544633843712	1
971	#1251277396780728320	2
972	#1340648337960283904	1
973	#1334292909286326272	0
974	#1352334388265160704	1
975	#1326626883774132224	1
976	#1264564218927472640	1
977	#1288707679054045184	1
978	#1296579957016137728	1
979	#1338161642799030272	2
980	#1276553207708356608	1
981	#1292655127095119872	0
982	#1340323465270845440	1
983	#1346966024160215040	1
984	#1348760483382218752	1
985	#1293273065481105408	0
986	#1344389402508763136	1
987	#1328123036034342912	1
988	#1308467313549680640	0
989	#1343628329673502720	1
990	#1326472747715792896	0
991	#1339911426354364416	1
992	#1256290000000000000	0
993	#1338686507259990016	1
994	#1252188346450956288	1
995	#1339092160193368064	2
996	#1316853923207053312	1
997	#1343996800198471680	2
998	#1353498499984351232	1
999	#1349791969510256640	1
1000	#1293190064894173184	1
1001	#1348832088124870912	2
1002	#1318532721229156352	1
1003	#1353864735268032512	1
1004	#1309023227839164416	1
1005	#1334079746229952512	2
1006	#1293125167032541184	2
1007	#1353768486158254080	0
1008	#1262519462567145472	1
1009	#1283372199890616320	1
1010	#1248798118495354880	1
1011	#1347868109709987840	1
1012	#1296054997537271808	1
1013	#1319360000000000000	0
1014	#1319576799500771328	0
1015	#1338141543878848512	1
1016	#1331650364785925888	1
1017	#1340732026442428416	1
1018	#1307025282281418752	1
1019	#1344367706137481216	0
1020	#1287609419971215104	1
1021	#1346093948310323200	0
1022	#1340848826555371520	0
1023	#1311259871199793152	2
1024	#1339354669894627328	1
1025	#1350299122843181056	1
1026	#1294583872861155328	1
1027	#1262692751432470528	1
1028	#1321882456816013312	1
1029	#1255605337295593472	1
1030	#1339639847775047680	1
1031	#1261418604504940288	1
1032	#1300110677890068480	1
1033	#1326714596833456128	2
1034	#1355622193942691840	0
1035	#1341218500749058048	2
1036	#1350967911310094336	1
1037	#1286843626375524352	2
1038	#1311299518252621824	1
1039	#1341340000000000000	2
1040	#1293177967095488512	1
1041	#1321150165873381120	1
1042	#1356136701790453504	1
1043	#1339184170124402688	0
1044	#1263419274221236224	1
1045	#1329474911216103424	0
1046	#1334058527359262720	1
1047	#1274226192611077888	2
1048	#1303780502248345600	1
1049	#1337342161126354944	1
1050	#1349125975800381440	1
1051	#1337843845246169088	1
1052	#1346624711074213888	2
1053	#1294201581802577920	0
1054	#1292061352433983488	0
1055	#1345633916296818688	1
1056	#1345635115104395264	1
1057	#1297871987109371904	0
1058	#1302905876630532096	2
1059	#1341024594170359808	2
1060	#1326724592556146688	1
1061	#1341044147298443264	0
1062	#1356631347058499584	1
1063	#1340125994804375552	1
1064	#1328824715058827264	1
1065	#1326322425445822464	2
1066	#1338140867593461504	0
1067	#1350544823678328832	1
1068	#1327288503399567104	1
1069	#1339578521006583808	0
